age,family,income,education,ccavg,mortgage,secacc,cdacc,online,ccard,loan
51,2,38,3,1.0,164,0,0,1,0,0
36,4,10,2,0.7,81,0,0,0,0,0
24,1,135,1,1.5,0,0,0,1,0,0
29,3,148,1,4.1,0,0,0,1,0,1
52,2,63,2,1.5,0,1,0,1,0,0
39,1,115,3,1.0,0,0,0,1,0,0
48,1,45,1,0.3,0,0,0,1,1,0
46,3,159,3,1.9,315,0,0,1,0,1
64,2,169,1,2.1,122,0,0,1,0,0
55,2,112,1,1.4,0,0,0,1,0,0
60,1,93,1,4.3,0,0,0,1,0,0
51,1,29,3,0.3,140,0,0,0,0,0
50,1,85,2,2.67,0,0,0,1,0,0
48,4,21,1,0.6,0,0,0,1,1,0
53,2,144,1,6.8,0,0,0,1,0,0
34,4,13,1,1.0,95,1,0,1,0,0
48,1,165,1,5.0,0,0,0,0,1,0
55,4,9,1,0.7,89,0,0,1,0,0
27,4,59,1,0.0,90,1,0,1,0,0
36,1,158,3,5.1,0,0,1,1,1,1
32,1,29,3,1.9,0,0,0,1,1,0
35,2,20,3,1.4,0,0,0,1,1,0
30,4,68,2,2.0,0,0,0,1,0,0
58,4,65,1,2.2,0,0,0,1,0,0
56,2,61,2,1.9,105,0,0,0,0,0
38,4,91,2,1.4,100,0,0,0,1,0
49,1,31,1,1.0,0,1,0,1,0,0
34,4,71,2,0.1,0,0,0,0,0,0
40,4,73,1,2.67,0,0,0,1,1,0
64,4,172,1,3.1,282,0,1,1,1,1
51,2,20,1,0.0,0,0,0,0,0,0
44,1,55,1,0.2,0,0,0,0,0,0
46,2,69,1,1.7,209,0,0,0,0,0
57,1,155,1,7.4,0,0,0,1,0,0
54,1,94,2,1.9,0,0,0,0,0,0
38,2,92,1,0.0,249,0,0,1,1,0
27,2,125,1,0.6,0,0,0,0,0,0
39,3,74,1,3.0,0,0,0,0,0,0
44,3,72,3,0.3,0,0,0,1,0,0
56,1,61,3,2.2,0,0,0,1,1,0
32,2,25,1,0.3,0,0,0,0,1,0
45,2,83,2,1.7,0,0,0,1,0,0
26,3,104,1,2.5,0,0,0,0,0,0
55,3,41,3,1.0,0,0,0,1,0,0
52,4,58,3,1.8,91,0,0,0,0,0
39,1,93,3,1.5,0,0,0,0,1,0
24,2,39,2,1.7,0,0,0,0,0,0
47,2,148,1,7.5,0,0,1,1,1,0
47,4,53,3,1.9,98,1,1,0,1,0
48,2,71,1,1.7,145,0,0,0,1,0
47,1,92,2,2.8,0,0,0,1,0,0
35,4,61,3,2.1,0,0,0,1,0,0
46,3,38,2,2.5,135,0,0,0,0,0
62,4,58,1,1.7,0,0,0,1,0,0
26,1,80,2,0.8,150,0,0,0,0,0
38,4,71,3,1.8,0,0,0,1,0,0
43,3,89,3,0.5,0,0,0,1,1,0
62,1,83,3,1.8,0,0,0,1,0,0
57,3,28,1,0.2,0,0,0,1,1,0
28,4,52,2,1.7,0,0,0,0,0,0
51,1,70,1,1.2,169,0,0,0,0,0
48,1,71,3,1.4,0,0,0,0,1,0
41,1,75,3,3.7,280,0,0,0,0,0
65,3,170,3,7.9,99,0,1,1,0,1
41,4,78,1,0.8,78,0,0,1,0,0
35,2,25,2,1.0,0,0,0,0,0,0
38,2,60,3,0.6,0,0,0,1,1,0
53,4,120,2,2.7,111,1,1,1,0,1
55,2,99,1,1.4,264,0,0,1,1,0
26,3,55,3,2.6,113,0,0,0,1,0
30,3,29,2,1.0,117,0,0,0,0,0
54,2,170,2,6.2,325,0,0,1,0,1
65,3,53,1,2.2,0,0,0,0,1,0
47,1,138,1,0.0,0,0,0,0,0,0
65,3,134,3,3.9,121,0,0,1,0,1
66,2,42,3,0.7,138,0,0,0,1,0
26,4,99,3,2.3,0,0,0,0,1,0
66,3,18,1,0.5,0,0,0,0,1,0
35,4,24,1,0.3,0,0,0,1,0,0
56,1,55,1,1.4,77,0,0,1,0,0
51,1,58,1,0.0,0,0,0,0,1,0
42,2,111,3,1.2,251,0,0,1,0,1
49,1,33,3,0.3,0,0,1,1,1,0
27,4,74,2,1.8,112,0,0,1,1,0
45,2,38,1,0.7,0,0,0,0,0,0
49,4,23,3,0.6,98,1,0,0,0,0
63,2,61,1,1.5,0,0,0,1,0,0
47,1,81,1,2.9,138,0,0,0,0,0
64,1,129,1,2.5,0,0,0,1,0,0
43,1,33,3,0.75,0,0,0,0,0,0
60,4,63,1,2.2,0,0,0,1,0,0
40,4,70,2,1.4,0,0,0,1,0,0
29,4,45,1,0.2,158,0,0,1,1,0
41,3,65,3,0.5,0,0,0,1,0,0
30,4,74,1,2.2,0,1,0,0,1,0
49,4,50,3,1.8,0,1,0,0,0,0
30,4,22,3,0.5,109,0,0,1,0,0
29,4,30,3,1.0,0,0,0,0,0,0
50,4,21,1,1.0,0,0,0,1,0,0
39,2,155,1,3.9,0,0,0,1,0,0
33,4,64,3,2.1,164,0,0,1,0,0
57,4,65,3,2.6,0,0,0,0,1,0
34,4,71,3,0.7,0,0,0,1,0,0
61,3,40,2,0.5,0,1,0,1,0,0
44,3,69,3,0.5,0,0,0,1,0,0
40,3,69,2,2.33,0,0,0,0,0,0
51,3,45,2,0.6,131,0,0,1,0,0
37,3,62,2,0.7,0,0,0,0,1,0
44,2,172,3,4.3,391,1,1,1,0,1
42,3,24,2,1.0,0,0,0,1,1,0
51,1,80,1,4.9,0,0,0,0,0,0
43,3,8,2,0.67,88,0,0,1,0,0
30,4,38,1,0.8,129,0,0,1,1,0
45,4,93,3,2.6,0,0,0,0,0,0
35,1,55,1,2.0,0,0,0,1,0,0
60,2,64,3,1.7,0,0,0,0,1,0
34,1,122,1,0.0,0,0,0,1,0,0
55,3,70,3,1.4,0,0,0,1,0,0
43,2,81,1,3.2,0,0,0,0,0,0
41,1,159,3,5.5,0,0,1,1,0,1
34,4,70,1,1.3,0,1,0,0,0,0
65,2,150,1,6.9,196,0,0,0,0,0
45,2,152,1,7.5,0,0,0,1,0,0
49,4,195,1,3.0,617,0,0,0,0,1
48,1,22,1,0.1,0,0,0,0,0,0
60,1,22,1,1.3,123,0,0,1,0,0
55,3,79,1,0.8,0,0,0,1,1,0
42,1,33,3,1.4,0,0,0,1,0,0
32,2,128,1,4.33,0,0,1,1,1,0
62,1,91,1,3.8,0,1,0,1,0,0
57,4,39,1,0.9,0,0,0,1,1,0
52,1,121,1,7.3,167,0,0,1,0,0
36,1,21,3,0.67,0,1,0,1,0,0
34,3,41,1,2.3,0,0,0,0,1,0
63,2,45,3,0.7,0,0,0,1,0,0
24,3,51,3,0.3,0,0,0,1,0,0
57,1,165,2,1.6,0,0,0,1,0,1
40,2,119,2,4.2,0,0,0,1,0,1
27,4,110,3,1.8,190,0,0,1,0,0
65,3,20,2,0.7,0,0,0,0,1,0
60,1,64,2,0.8,248,0,0,0,0,0
44,3,101,2,4.4,82,0,0,0,0,1
63,1,101,1,3.9,0,1,1,1,0,1
59,1,99,1,4.4,0,0,0,0,0,1
56,4,158,1,6.1,0,0,0,0,0,1
54,1,89,2,1.9,0,0,0,1,1,0
52,1,80,3,1.3,0,0,1,1,1,0
58,2,114,1,2.0,402,0,0,1,0,0
60,3,49,2,0.5,0,0,0,1,1,0
28,1,191,1,6.33,0,0,0,1,0,0
54,4,78,2,1.0,0,0,0,1,0,0
32,3,28,1,1.0,0,0,0,0,0,0
59,1,42,2,0.8,0,0,0,1,0,0
63,1,140,1,2.5,0,0,0,0,0,0
48,1,45,2,1.3,0,0,0,1,0,0
56,2,122,1,0.3,360,0,1,1,1,0
36,3,65,2,2.6,0,0,0,1,0,0
57,1,68,3,1.4,0,0,0,1,0,0
29,2,153,1,2.0,392,0,0,0,0,0
39,4,89,2,1.4,0,0,0,0,0,0
59,1,91,1,2.6,0,0,0,1,1,0
31,4,55,2,2.0,185,0,0,1,0,0
43,2,118,1,3.3,0,0,0,0,1,0
35,1,22,3,0.67,103,0,0,0,0,0
54,3,63,3,1.4,138,0,0,1,1,0
51,4,12,2,0.5,78,1,0,1,0,0
44,3,50,2,2.7,0,0,0,1,0,0
25,2,43,3,1.6,0,1,1,1,1,0
40,4,173,1,6.6,0,0,1,1,1,1
26,2,60,1,3.0,132,0,0,0,0,1
39,1,113,3,1.0,0,1,0,1,0,0
28,4,155,2,5.3,0,0,0,1,0,1
52,4,91,2,1.0,0,0,0,0,1,0
53,4,55,2,1.1,0,0,0,1,0,0
44,2,173,1,1.4,419,0,0,1,0,0
43,3,71,3,0.3,0,0,0,0,1,0
56,2,24,3,0.4,88,0,0,0,0,0
38,1,42,2,2.0,81,0,0,1,0,0
30,2,141,1,4.33,0,0,0,1,0,0
32,1,32,3,1.9,0,0,0,1,0,0
35,4,55,1,1.3,0,0,0,0,0,0
43,2,153,1,7.5,0,0,0,1,0,0
58,2,113,1,1.4,270,0,0,0,1,0
25,2,30,2,1.7,0,0,0,0,0,0
54,3,29,3,1.0,148,0,0,0,1,0
57,1,174,2,6.8,466,0,0,1,0,1
50,1,35,3,0.3,0,0,0,1,0,0
32,2,98,2,2.0,175,0,0,1,0,0
63,2,30,3,1.0,159,0,0,1,0,0
31,2,58,1,2.5,0,0,0,0,1,0
36,4,25,1,1.0,147,0,0,0,0,0
58,4,19,1,0.7,0,0,0,0,0,0
56,4,44,2,0.7,174,0,0,1,0,0
49,4,20,1,1.0,111,0,0,1,1,0
30,2,98,1,3.1,220,0,0,1,0,0
33,3,90,1,1.6,0,0,0,1,0,0
45,3,61,1,0.7,0,0,0,0,0,0
30,4,40,2,2.0,0,0,0,1,0,0
47,2,38,3,2.1,0,0,0,0,0,0
25,2,28,2,1.7,0,0,0,0,0,0
63,1,34,3,1.5,0,0,0,1,1,0
55,2,73,3,2.3,0,0,0,1,1,0
65,4,133,1,2.0,0,0,0,0,1,1
44,1,53,1,0.2,0,0,0,1,0,0
51,4,21,3,0.6,0,0,0,1,1,0
35,3,40,1,0.9,0,0,0,1,0,0
30,4,41,2,1.7,0,0,0,1,0,0
31,4,82,2,1.8,0,0,0,1,0,0
54,4,100,3,3.4,0,0,0,0,0,1
45,1,155,1,7.0,0,0,0,1,1,0
45,1,45,1,0.2,0,0,0,1,0,0
58,3,9,3,0.3,0,0,0,0,1,0
54,4,48,3,1.8,0,0,0,1,0,0
53,4,18,3,0.1,109,1,1,1,1,0
33,4,80,1,3.4,0,0,0,1,1,0
60,2,64,1,2.8,0,0,0,0,0,0
50,4,29,1,0.1,0,0,0,0,0,0
26,3,48,2,0.7,0,0,0,1,0,0
54,2,23,1,0.4,0,0,0,0,0,0
28,4,84,1,0.2,0,0,0,1,1,0
36,3,179,1,6.6,0,0,0,1,0,1
29,4,30,2,1.5,112,0,0,0,1,0
54,1,93,1,4.9,133,0,1,1,1,0
55,2,39,2,1.9,0,0,0,0,0,0
61,3,60,2,0.5,182,0,0,0,0,0
36,1,133,1,3.8,290,1,1,1,1,0
45,1,125,1,2.4,0,0,0,0,0,0
64,1,58,3,1.8,0,0,0,1,0,0
60,2,89,1,2.8,0,0,0,1,0,0
49,1,82,2,2.67,125,0,0,1,0,0
47,2,110,1,3.3,0,0,0,1,1,0
60,4,54,3,2.3,0,1,0,0,0,0
45,4,89,3,1.9,0,0,0,1,0,0
32,3,42,1,2.3,0,0,0,1,0,0
52,3,41,2,1.9,0,0,0,0,1,0
35,4,38,2,1.0,124,0,0,1,0,0
40,2,85,1,0.4,0,0,0,1,0,0
53,4,83,2,1.0,0,0,0,1,0,0
27,4,33,3,1.0,0,0,0,0,0,0
58,4,50,1,2.1,0,0,0,0,1,0
47,4,58,3,3.6,0,0,0,1,1,0
28,4,115,2,3.1,0,0,0,0,0,1
46,2,145,1,6.3,0,1,1,1,0,0
43,2,161,1,7.5,0,0,0,0,0,0
56,1,38,1,0.2,0,0,0,0,0,0
28,4,28,1,0.8,0,0,0,1,0,0
42,3,75,1,2.33,0,0,0,0,1,0
32,3,35,1,1.3,116,0,0,0,1,0
62,2,24,1,1.0,116,0,0,0,1,0
37,4,78,2,0.1,0,0,0,1,0,0
51,1,113,3,1.3,161,0,0,1,0,0
39,3,75,1,2.1,224,0,0,1,0,0
43,1,91,1,5.7,0,0,0,1,0,0
52,4,31,1,0.2,141,0,0,1,1,0
30,1,45,2,1.8,0,0,0,1,0,0
52,3,80,1,0.8,0,0,0,0,0,0
61,3,50,3,1.4,112,0,0,1,0,0
36,4,31,2,1.0,0,1,0,1,0,0
58,2,113,2,3.8,119,0,1,1,1,1
47,4,29,1,0.6,0,0,0,1,0,0
64,2,59,1,1.5,139,0,0,1,0,0
52,1,43,2,1.3,0,1,0,1,0,0
58,1,122,3,3.0,115,0,0,1,0,1
48,1,29,1,1.0,0,0,0,0,0,0
64,2,91,3,0.0,0,0,0,1,1,0
58,3,65,3,2.2,0,0,0,1,0,0
47,1,22,1,1.0,0,0,0,0,1,0
49,1,71,3,1.4,0,0,0,0,0,0
31,4,60,2,2.0,0,0,0,1,1,0
61,3,60,3,2.0,0,0,0,1,0,0
51,1,69,1,0.3,0,0,0,1,1,0
28,2,48,3,1.75,89,0,0,1,0,0
39,3,21,2,0.2,0,0,0,0,0,0
54,4,53,2,2.8,0,1,0,0,0,0
50,3,29,3,0.9,0,0,0,0,0,0
30,4,60,2,2.2,0,0,0,1,0,0
64,3,42,2,0.5,116,0,0,1,0,0
29,3,69,3,0.3,0,0,0,0,0,0
48,1,20,1,1.0,0,0,0,1,1,0
35,2,200,1,3.0,458,0,0,0,0,0
60,2,141,1,2.1,0,0,0,1,1,0
55,2,81,1,3.7,0,1,0,0,0,0
29,3,183,3,8.3,0,0,0,1,0,1
48,2,149,2,5.5,0,1,1,1,0,1
43,4,83,3,3.6,0,0,0,0,1,1
66,1,35,2,1.9,172,0,0,1,0,0
25,2,13,3,0.9,0,0,0,1,0,0
45,1,39,1,2.4,0,0,0,0,1,0
34,1,21,3,0.5,0,0,0,1,0,0
48,2,10,3,0.7,0,0,0,1,1,0
32,4,84,2,1.8,0,0,0,0,0,0
50,4,30,1,0.1,161,0,0,1,1,0
43,4,31,1,0.3,156,0,0,1,0,0
64,1,182,2,1.2,547,0,0,1,0,1
60,2,114,1,6.9,0,0,0,1,0,0
43,3,152,2,6.1,0,0,0,0,0,1
60,1,53,2,0.8,0,1,0,0,1,0
64,4,24,2,0.4,78,0,0,1,0,0
44,2,150,1,3.3,0,0,0,0,1,0
60,2,132,1,6.0,470,0,0,1,1,0
54,3,68,3,1.6,0,0,0,1,1,0
33,1,53,1,1.2,0,0,0,0,1,0
56,1,173,2,4.6,88,0,1,1,0,1
29,3,30,2,1.0,0,0,0,0,0,0
25,2,113,1,0.2,0,0,0,1,1,0
60,1,15,2,0.8,0,0,0,1,0,0
55,2,84,1,3.7,304,1,0,1,0,0
39,4,88,2,1.4,0,0,0,1,1,0
37,3,43,1,2.8,0,0,0,1,0,0
53,2,43,3,2.1,0,0,1,1,1,0
34,2,90,1,2.7,0,0,0,1,0,0
42,4,34,1,0.3,104,1,0,1,0,0
60,4,38,1,1.3,0,0,0,1,0,0
50,1,173,1,1.0,0,0,0,1,1,0
41,2,160,1,8.0,0,0,0,1,0,0
25,4,44,2,0.6,0,0,0,1,1,0
50,2,83,3,0.4,0,0,0,1,0,0
48,4,94,3,2.6,0,0,0,1,0,0
32,1,43,3,2.1,0,0,0,0,1,0
50,3,42,2,1.7,0,0,0,1,0,0
59,2,34,1,0.3,0,0,0,0,0,0
50,3,39,2,1.9,0,0,0,1,0,0
44,1,70,2,0.1,0,0,0,0,0,0
31,4,39,3,1.8,185,0,0,0,1,0
40,3,44,3,2.0,0,0,0,1,0,0
36,3,69,2,3.1,0,0,0,1,0,1
51,3,44,3,0.9,0,0,0,0,0,0
64,3,32,3,0.1,0,0,0,1,0,0
47,2,15,3,0.7,0,0,0,0,0,0
52,2,118,1,6.8,112,0,0,1,0,0
51,1,62,2,1.3,221,0,0,1,0,0
31,4,82,2,2.2,0,0,0,0,0,0
39,3,54,1,3.0,108,0,0,0,1,0
30,1,48,3,2.1,0,0,0,0,0,0
27,3,74,3,0.3,0,0,0,1,0,0
41,1,113,3,1.0,211,0,0,0,1,0
53,3,81,2,1.7,0,0,0,0,0,0
54,3,43,2,1.0,169,0,0,0,0,0
28,1,34,2,1.8,0,0,0,1,0,0
34,1,48,3,2.5,105,0,0,1,0,0
61,4,54,2,1.2,129,0,0,1,1,0
48,4,75,2,1.4,0,0,0,1,0,0
36,1,72,1,2.8,224,0,0,0,0,0
56,4,39,1,0.9,0,0,0,0,0,0
24,4,75,1,0.2,0,0,0,1,0,0
64,2,79,1,2.8,179,0,0,0,0,0
26,1,205,1,6.33,271,0,0,0,1,0
33,2,65,1,0.1,89,0,0,1,0,0
64,4,122,1,0.2,378,0,0,1,0,1
39,1,82,2,0.8,0,0,0,1,0,0
54,2,21,1,0.2,0,0,0,0,1,0
32,4,50,3,2.1,0,1,1,1,1,0
62,2,39,1,2.8,113,0,1,1,1,0
27,1,101,1,1.9,0,0,0,0,0,0
53,2,41,3,0.6,0,1,0,0,0,0
51,1,132,1,0.3,0,0,0,1,0,0
25,3,43,2,2.4,176,0,0,1,0,0
44,1,131,3,4.9,0,0,0,1,0,1
31,1,11,2,0.4,76,0,0,0,1,0
57,1,21,3,0.3,117,0,0,0,0,0
25,4,109,3,2.3,314,0,0,1,0,0
30,2,141,1,4.33,0,0,0,0,0,0
40,3,81,1,0.1,0,0,0,1,0,0
63,3,54,1,2.4,90,0,0,0,1,0
35,2,164,1,7.8,0,0,0,1,0,0
43,4,28,1,0.3,87,0,0,0,0,0
27,3,68,3,2.6,203,1,0,0,0,0
44,3,44,3,2.0,180,1,1,1,1,0
49,1,61,3,1.4,0,0,0,1,1,0
61,3,35,2,1.3,0,0,0,0,1,0
60,3,54,2,0.3,0,0,0,1,1,0
59,1,14,1,0.1,0,0,0,1,1,0
28,4,52,1,2.2,230,0,0,1,0,0
52,2,101,1,0.3,0,0,0,0,0,0
28,2,149,1,7.2,0,0,0,1,0,0
34,4,35,1,0.8,137,0,1,1,1,0
60,3,21,3,0.3,129,0,0,1,0,0
39,2,118,1,1.9,0,0,0,0,1,0
30,4,38,2,2.0,0,1,0,0,0,0
49,4,24,1,0.2,138,0,0,1,0,0
43,1,59,3,3.7,0,0,0,1,0,0
63,4,41,3,1.67,0,0,0,1,0,0
28,1,85,2,0.8,0,0,0,1,1,0
51,4,12,1,1.0,0,0,0,1,0,0
33,1,32,3,0.6,152,0,0,0,0,0
55,3,79,1,0.8,0,0,0,1,0,0
53,3,175,3,3.6,0,0,1,1,1,1
34,3,28,1,0.9,0,0,0,0,0,0
34,2,41,1,0.1,161,0,0,1,1,0
40,3,70,1,2.1,185,0,0,0,0,0
49,3,161,2,6.5,485,1,1,0,0,1
35,4,53,2,2.2,0,0,0,1,0,0
39,1,128,1,3.4,0,0,0,0,0,0
55,3,50,2,1.0,0,0,0,1,1,0
29,2,80,2,2.0,0,0,0,1,1,0
54,1,93,2,2.7,0,0,0,1,0,0
25,3,48,3,0.3,0,0,0,0,1,0
52,2,149,1,6.8,0,0,0,1,0,0
46,3,49,2,2.5,0,0,0,1,1,0
57,1,88,2,2.7,0,0,0,1,0,0
